School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Network Manager,Collaborative Name,Safety Score,Family Involvement Score,Environment Score,Instruction Score,Leaders Score ,Teachers Score,Parent Engagement Score,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students),Average Teacher Attendance,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment,Community Area Name
610038,Abraham Lincoln Elementary School,ES,615 W Kemper Pl ,Chicago,IL,60614,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,99,99,74,66,65,70,56,47,0.96,2,0.964,,,,813,LINCOLN PARK
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,7511 S South Shore Dr ,Chicago,IL,60649,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,54,66,74,84,63,76,46,50,0.956,15.7,0.953,,,,521,SOUTH SHORE
610185,Adlai E Stevenson Elementary School,ES,8010 S Kostner Ave ,Chicago,IL,60652,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,61,,50,36,,,47,41,0.957,2.3,0.947,,,,1324,ASHBURN
609993,Agustin Lara Elementary Academy,ES,4619 S Wolcott Ave ,Chicago,IL,60609,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,56,44,45,37,65,48,53,58,0.955,10.4,0.958,,,,556,NEW CITY
610513,Air Force Academy High School,HS,3630 S Wells St ,Chicago,IL,60609,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,49,60,60,55,45,54,53,49,0.933,15.6,0.969,,,,302,ARMOUR SQUARE
610212,Albany Park Multicultural Academy,MS,4929 N Sawyer Ave ,Chicago,IL,60625,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,66,37,66,71,43,50,46,51,0.97,2.3,0.969,,,,266,ALBANY PARK
609720,Albert G Lane Technical High School,HS,2501 W Addison St ,Chicago,IL,60618,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,88,,62,52,,,,,0.963,2.1,0.962,67.9,92.2,79.8,4368,NORTH CENTER
610342,Albert R Sabin Elementary Magnet School,ES,2216 W Hirsch St ,Chicago,IL,60622,Fulton Elementary Network,WEST SIDE COLLABORATIVE,67,,30,18,,,,,0.947,28.1,0.95,,,,620,WEST TOWN
610524,Alcott High School for the Humanities,HS,2957 N Hoyne Ave ,Chicago,IL,60618,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,70,,67,51,,,57,43,0.927,7.1,0.969,,,,232,NORTH CENTER
610209,Alessandro Volta Elementary School,ES,4950 N Avers Ave ,Chicago,IL,60625,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,43,61,28,37,62,56,51,53,0.964,22.5,0.959,,,,1023,ALBANY PARK
609799,Alexander Graham Bell Elementary School,ES,3730 N Oakley Ave ,Chicago,IL,60618,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,99,88,64,46,51,51,,,0.963,6.3,0.959,,,,998,NORTH CENTER
609947,Alexander Graham Elementary School,ES,4436 S Union Ave ,Chicago,IL,60609,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,49,30,31,33,30,41,48,51,0.925,27.4,0.95,,,,476,NEW CITY
609963,Alexander Hamilton Elementary School,ES,1650 W Cornelia Ave ,Chicago,IL,60657,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,73,64,60,59,59,48,57,54,0.953,12.5,0.974,,,,307,LAKE VIEW
