Date,Bullish,Neutral,Bearish,Total,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
4/28/2016,0.273663,0.440329,0.286008,1,2111.050049,2077.52002,2095.149902
4/21/2016,0.334052,0.426724,0.239224,1,2111.050049,2065.919922,2102.399902
4/14/2016,0.278481,0.472574,0.248945,1,2083.179932,2033.800049,2082.419922
4/7/2016,0.321918,0.46347,0.214612,1,2075.070068,2042.560059,2066.659912
3/31/2016,0.271805,0.470588,0.257606,1,2072.209961,2022.48999,2063.949951
3/24/2016,0.337808,0.425056,0.237136,1,2056.600098,2010.040039,2036.709961
3/17/2016,0.299587,0.431818,0.268595,1,2032.02002,1969.25,2027.219
3/10/2016,0.373576,0.382688,0.243736,1,2009.13,1968.8,1989.26
3/3/2016,0.320158,0.387352,0.29249,1,1986.51,1891,1986.45
2/25/2016,0.311947,0.373894,0.314159,1,1946.7,1871.44,1929.8
2/18/2016,0.275605,0.346369,0.378026,1,1930.68,1810.1,1926.82
2/11/2016,0.192385,0.320641,0.486974,1,1935.26,1828.46,1851.86
2/4/2016,0.275472,0.377358,0.34717,1,1947.2,1872.23,1912.53
1/28/2016,0.297535,0.302817,0.399648,1,1916.99,1812.29,1882.95
1/21/2016,0.21521,0.297735,0.487055,1,1950.33,1812.29,1859.33
1/14/2016,0.178988,0.365759,0.455253,1,2021.94,1886.41,1890.28
1/7/2016,0.221739,0.395652,0.382609,1,2081.56,1979.05,1990.26
12/31/2015,0.250729,0.51312,0.236152,1,2081.56,2005.93,2063.36
12/24/2015,0.263804,0.421268,0.314928,1,2076.72,1993.26,2064.29
12/17/2015,0.238663,0.367542,0.393795,1,2080.33,1993.26,2073.07
12/10/2015,0.285057,0.416092,0.298851,1,2104.27,2036.53,2047.62
12/3/2015,0.294931,0.493088,0.211982,1,2104.27,2070.29,2079.51
11/26/2015,0.323601,0.416058,0.260341,1,2097.06,2051.99,2090.11
11/19/2015,0.307692,0.386813,0.305495,1,2086.94,2019.39,2083.58
